filename,commit_count
host_linux_mipsle.go,4
host_linux_ppc64le.go,4
host_linux_s390x.go,4
host_openbsd.go,4
host_openbsd_amd64.go,4
host_solaris.go,4
binary.go,4
mem_darwin_cgo.go,4
mem_darwin_nocgo.go,4
mem_fallback.go,4
mem_openbsd.go,4
mem_openbsd_amd64.go,4
process_darwin_386.go,4
process_darwin_amd64.go,4
process_freebsd_386.go,4
process_freebsd_amd64.go,4
process_freebsd_arm.go,4
process_openbsd_amd64.go,4
process_windows_386.go,4
process_windows_amd64.go,4
advapi32.go,4
comctl32.go,4
comdlg32.go,4
dwmapi.go,4
gdi32.go,4
gdiplus.go,4
istream.go,4
kernel32.go,4
ole32.go,4
oleaut32.go,4
opengl32.go,4
psapi.go,4
shell32.go,4
typedef.go,4
user32.go,4
vars.go,4
licenses.go,4
bool.go,4
terminal.go,4
util_linux.go,4
ctxhttp.go,4
dirent.go,4
fcntl.go,4
mkpost.go,4
race.go,4
syscall_openbsd_386.go,4
syscall_openbsd_amd64.go,4
syscall_openbsd_arm.go,4
types_dragonfly.go,4
types_solaris.go,4
zerrors_darwin_386.go,4
zerrors_darwin_amd64.go,4
zerrors_darwin_arm.go,4
zerrors_darwin_arm64.go,4
zerrors_freebsd_386.go,4
zerrors_freebsd_amd64.go,4
zerrors_freebsd_arm.go,4
zerrors_solaris_amd64.go,4
zsysctl_openbsd_386.go,4
zsysctl_openbsd_arm.go,4
zsysnum_netbsd_386.go,4
zsysnum_netbsd_amd64.go,4
zsysnum_netbsd_arm.go,4
zsysnum_openbsd_386.go,4
zsysnum_openbsd_amd64.go,4
zsysnum_openbsd_arm.go,4
ztypes_darwin_386.go,4
ztypes_darwin_amd64.go,4
ztypes_darwin_arm.go,4
ztypes_darwin_arm64.go,4
ztypes_netbsd_386.go,4
ztypes_netbsd_amd64.go,4
ztypes_netbsd_arm.go,4
ztypes_solaris_amd64.go,4
dll_windows.go,4
reader_util.go,4
timestamp.pb.go,4
rewrite.go,4
tags.go,4
dead.go,4
methodsetcache.go,4
ui.go,4
lint17.go,4
lint18.go,4
code.go,4
triegen.go,4
base.go,4
blacklist.go,4
hardcoded_credentials.go,4
rand.go,4
ssh.go,4
tls.go,4
unsafe.go,4
weakcrypto.go,4
max_per_file_from_linter_test.go,4
scanner.go,4
viper.go,4
trie.go,4
p.go,4
p_test.go,4
resolver_test.go,4
mockgen.go,4
words.go,4
cha.go,4
rta.go,4
glob.go,4
string_to_int.go,4
string_to_string.go,4
fastwalk_dirent_namlen_bsd.go,4
appendAssign_checker.go,4
defaultCaseOrder_checker.go,4
dupBranchBody_checker.go,4
dupCase_checker.go,4
flagDeref_checker.go,4
ifElseChain_checker.go,4
indexAlloc_checker.go,4
methodExprCall_checker.go,4
rangeExprCopy_checker.go,4
regexpMust_checker.go,4
singleCaseSwitch_checker.go,4
sloppyLen_checker.go,4
switchTrue_checker.go,4
unlabelStmt_checker.go,4
unslice_checker.go,4
local_comment_walker.go,4
aliases.go,4
ioctl.go,4
syscall_aix.go,4
syscall_linux_riscv64.go,4
zsyscall_aix_ppc.go,4
zsyscall_aix_ppc64.go,4
ztypes_aix_ppc.go,4
ztypes_aix_ppc64.go,4
builtinShadow_checker.go,4
checkers.go,4
docStub_checker.go,4
flagName_checker.go,4
unnamedResult_checker.go,4
wrapperFunc_checker.go,4
yodaStyleExpr_checker.go,4
arg.go,4
names.go,4
module.go,4
table_merge.go,4
zsyscall_darwin_386.1_11.go,4
zsyscall_darwin_amd64.1_11.go,4
zsyscall_darwin_arm.1_11.go,4
zsyscall_darwin_arm64.1_11.go,4
zsyscall_freebsd_arm64.go,4
zsyscall_netbsd_arm64.go,4
ztypes_freebsd_arm64.go,4
bools.go,4
buildssa.go,4
cgocall.go,4
bytebuffer.go,4
pool.go,4
forward.go,4
errorsas.go,4
hash_test.go,4
copy.go,4
hmac.go,4
notifications.go,4
admin_user.go,4
attachment.go,4
fork.go,4
git_hook.go,4
hook.go,4
issue_comment.go,4
issue_label.go,4
issue_milestone.go,4
issue_tracked_time.go,4
miscellaneous.go,4
org.go,4
org_member.go,4
org_team.go,4
org_type.go,4
pull.go,4
repo.go,4
repo_branch.go,4
repo_collaborator.go,4
repo_commit.go,4
repo_file.go,4
repo_key.go,4
repo_refs.go,4
repo_tag.go,4
repo_tree.go,4
repo_watch.go,4
user.go,4
user_app.go,4
user_email.go,4
user_gpgkey.go,4
user_key.go,4
core.go,4
request.go,4
sender.go,4
environments.go,4
time.go,4
convert.go,4
validation.go,4
funcs.go,4
helper.go,4
node.go,4
template.go,4
provider.go,4
metric.go,4
jsonvalue.go,4
env_config.go,4
ini.go,4
payload.go,4
unmarshal_error.go,4
customizations.go,4
model.go,4
event.go,4
event_types.go,4
projects.go,4
users.go,4
call_option.go,4
gax.go,4
gitlab.go,4
http.go,4
blob.go,4
nfpm.go,4
pipe.go,4
usage.go,4
events.go,4
settings.go,4
export.go,4
driver.go,4
kms.go,4
proxy.go,4
appengine.go,4
google.go,4
jwt.go,4
oauth2.go,4
value.go,4
adaptor.go,4
wrap.go,4
dial_appengine.go,4
identity.go,4
dns_resolver.go,4
autogen_exclude.go,4
testpackage_test.go,4
go-header_good.go,4
path_prefixer_test.go,4
forbidigo_example_test.go,4
gosec_rules_config.go,4
errorlint_asserts.go,4
importas_noalias.go,4
nilassign.go,4
tenv_test.go,4
gosec_severity_confidence.go,4
errchkjson_no_exported.go,4
rangeExprCopy.go,4
decorder_default.go,4
maintidx_under_100.go,4
tenv_go118.go,4
thelper_go118.go,4
thelper_with_options.go,4
builder_plugin_module.go,4
goheader_2.go,4
goheader_3.go,4
skip_dirs_test.go,4
githubaction.go,4
filen.go,4
prog.go,4
runner_action_cache.go,4
usetesting_go124.go,4
nilnesserr.go,4
exclusion_generated_file_filter.go,4
exclusion_paths_test.go,4
exclusion_presets.go,4
path_prettifier_test.go,4
migrate_linter_names.go,4
funcorder.go,4
embeddedstructfieldcheck.go,4
noinlineerr.go,4
bloop_test.go,4
reflecttypefor.go,4
slicescontains.go,4
linter_mock.go,3
exclude_processor.go,3
linter_test.go,3
bypass.go,3
bypasssafe.go,3
dump.go,3
color.go,3
duration_gogo.go,3
encode_gogo.go,3
extensions_gogo.go,3
lib_gogo.go,3
pointer_reflect_gogo.go,3
properties_gogo.go,3
timestamp_gogo.go,3
colorable_appengine.go,3
colorable_others.go,3
noncolorable.go,3
isatty_bsd.go,3
isatty_others.go,3
isatty_solaris.go,3
alt_exit.go,3
exported.go,3
json_formatter.go,3
logrus.go,3
terminal_check_appengine.go,3
terminal_check_notappengine.go,3
text_formatter.go,3
bash_completions.go,3
cobra.go,3
command.go,3
command_win.go,3
zsh_completions.go,3
bool_slice.go,3
count.go,3
duration_slice.go,3
int_slice.go,3
ip_slice.go,3
string_array.go,3
string_slice.go,3
uint_slice.go,3
forward_assertions.go,3
http_assertions.go,3
util_plan9.go,3
util_solaris.go,3
util_windows.go,3
affinity_linux.go,3
bluetooth_linux.go,3
endian_little.go,3
env_unix.go,3
gccgo.go,3
openbsd_pledge.go,3
pagesize_unix.go,3
sockcmsg_linux.go,3
syscall_dragonfly_amd64.go,3
syscall_freebsd_386.go,3
syscall_freebsd_amd64.go,3
syscall_freebsd_arm.go,3
syscall_netbsd_386.go,3
syscall_netbsd_amd64.go,3
syscall_netbsd_arm.go,3
syscall_solaris_amd64.go,3
syscall_unix_gc.go,3
timestruct.go,3
types_netbsd.go,3
zsysnum_darwin_386.go,3
zsysnum_darwin_amd64.go,3
